iter	Logloss
0	0.6635137658
1	0.6360764302
2	0.6138225231
3	0.5968638456
4	0.5816460529
5	0.5697061007
6	0.5600448846
7	0.5513031776
8	0.5435193915
9	0.5371704764
10	0.5316909052
11	0.5270853783
12	0.5224972181
13	0.5189877413
14	0.5158149075
15	0.5125729046
16	0.509596504
17	0.5072286928
18	0.5048777257
19	0.5027776694
20	0.5008553746
21	0.4990611626
22	0.4975995063
23	0.4962485086
24	0.4950181862
25	0.4938482539
26	0.4927483998
27	0.4916150554
28	0.488917185
29	0.487523463
30	0.4824037456
31	0.480849285
32	0.4799895244
33	0.4699851931
34	0.462379076
35	0.4548725329
36	0.4486589946
37	0.4427411284
38	0.4367740415
39	0.4310171601
40	0.4267639739
41	0.4264323797
42	0.4226521196
43	0.4194732324
44	0.4191566579
45	0.4180009853
46	0.4157651877
47	0.4135851225
48	0.4132484392
49	0.4096253827
50	0.4093824309
51	0.4091044327
52	0.4088663829
53	0.40866775
54	0.4084349909
55	0.408266301
56	0.4080625047
57	0.4078955275
58	0.4074412538
59	0.4070225207
60	0.4067471334
61	0.4052111812
62	0.4050451412
63	0.404366141
64	0.4022762755
65	0.4021049712
66	0.4017933008
67	0.4012412493
68	0.4000582832
69	0.3998560173
70	0.3997783829
71	0.398775334
72	0.3986580304
73	0.3970060325
74	0.3960325839
75	0.3955196475
76	0.394651868
77	0.3940325997
78	0.3933154434
79	0.3932401365
80	0.3931384498
81	0.3930660285
82	0.3929554023
83	0.3914677564
84	0.390243337
85	0.3900290658
86	0.3898988628
87	0.3898359128
88	0.3895993491
89	0.389545581
90	0.3894622134
91	0.3893554605
92	0.3876852469
93	0.3864779421
94	0.3853929865
95	0.3849051488
96	0.3830715632
97	0.382447405
98	0.380749106
99	0.3806244219
100	0.3802241305
101	0.3797788584
102	0.3782972242
103	0.3771733856
104	0.3769489489
105	0.3763048534
106	0.3755519015
107	0.3753668562
108	0.3743756198
109	0.37401285
110	0.3735363678
111	0.3734905913
112	0.3728161238
113	0.3726634162
114	0.3714109847
115	0.3711522728
116	0.3703142668
117	0.3692706667
118	0.3685744765
119	0.3684867182
120	0.3682581688
121	0.3682117611
122	0.3678636913
123	0.3671898372
124	0.3671513695
125	0.3669932297
126	0.3658796742
127	0.3658427595
128	0.3649362439
129	0.3648943476
130	0.3648490957
131	0.3638646509
132	0.3634548052
133	0.3634068434
134	0.3633665826
135	0.3629173415
136	0.3621585746
137	0.3620321618
138	0.3619584208
139	0.3619104285
140	0.3618485925
141	0.3616127948
142	0.3612130696
143	0.3610045442
144	0.3609561623
145	0.3602418182
146	0.3595672312
147	0.3595407483
148	0.3594975342
149	0.3594095634
150	0.3588842279
151	0.3582399787
152	0.3576331988
153	0.3570551696
154	0.3565989138
155	0.3565813134
156	0.356306565
157	0.3559085992
158	0.3556247328
159	0.3551697927
160	0.3546205743
161	0.3543262318
162	0.3542949633
163	0.353853594
164	0.3537908331
165	0.3534388042
166	0.3529242288
167	0.3525072635
168	0.3522166795
169	0.3518906692
170	0.3518459657
171	0.3514876419
172	0.3512015486
173	0.3511570479
174	0.3510789557
175	0.3508764886
176	0.350853384
177	0.3506235404
178	0.3504427714
179	0.3500974894
180	0.3498180222
181	0.3495420881
182	0.3492371239
183	0.3492131742
184	0.3490325781
185	0.3488089777
186	0.3485437221
187	0.3482110878
188	0.3481084339
189	0.3480485065
190	0.347958798
191	0.3479406191
192	0.3476580583
193	0.3475385501
194	0.347509611
195	0.3473920725
196	0.3473066922
197	0.3472628191
198	0.346935028
199	0.3467478207
200	0.3464213847
201	0.3462389802
202	0.3462199053
203	0.3461829083
204	0.3459689394
205	0.3459218259
206	0.3458901561
207	0.345856166
208	0.3456442008
209	0.345422368
210	0.345267643
211	0.3449506223
212	0.3447974116
213	0.3445619497
214	0.3445320806
215	0.3442980821
216	0.3439749483
217	0.3438405065
218	0.3438244016
219	0.3436155651
220	0.3436008185
221	0.3434728217
222	0.3432084839
223	0.3431819578
224	0.3430717917
225	0.3430393397
226	0.342846736
227	0.3424603815
228	0.3423292078
229	0.3422070233
230	0.3421861017
231	0.3421144813
232	0.3418670659
233	0.3418560461
234	0.3416972365
235	0.3416241491
236	0.3414944082
237	0.3414201899
238	0.3413949317
239	0.3412610707
240	0.3411160982
241	0.3410320686
242	0.3410105204
243	0.3408154789
244	0.3407918473
245	0.3407649688
246	0.3407489181
247	0.3405719449
248	0.3405453403
249	0.3405219884
250	0.3404363879
251	0.3404356469
252	0.3404070587
253	0.3399690829
254	0.3399490917
255	0.3398400765
256	0.3397033668
257	0.3396815548
258	0.3396649149
259	0.3395769031
260	0.339532701
261	0.3394147382
262	0.3393074538
263	0.3392795027
264	0.339265399
265	0.3392325558
266	0.3391335059
267	0.3391181506
268	0.3390911274
269	0.3389017557
270	0.3388688796
271	0.3388462153
272	0.338623013
273	0.3382450566
274	0.3379926556
275	0.337980663
276	0.3378878836
277	0.3375456822
278	0.3374094724
279	0.3373242917
280	0.3372815414
281	0.3372627834
282	0.3371836446
283	0.3371110035
284	0.3370879924
285	0.3370544097
286	0.336887255
287	0.3368563525
288	0.3367657711
289	0.3366053065
290	0.33657645
291	0.336445238
292	0.3363933869
293	0.3362648233
294	0.3361488826
295	0.3360375379
296	0.3360158277
297	0.3359931338
298	0.3359416097
299	0.3359269594
300	0.335912102
301	0.3357026373
302	0.3356571983
303	0.3355114937
304	0.335240306
305	0.3351118486
306	0.3350135689
307	0.3349990052
308	0.3347983948
309	0.3346138903
310	0.3344067706
311	0.334389718
312	0.3342908167
313	0.3340536266
314	0.3338434933
315	0.3337813343
316	0.3337526293
317	0.3337071681
318	0.3336816611
319	0.3336583517
320	0.3336399104
321	0.3335481098
322	0.3333869034
323	0.3332222341
324	0.3332056649
325	0.3330676556
326	0.3330478424
327	0.3330340476
328	0.3329759631
329	0.3328004038
330	0.3326891112
331	0.3324769275
332	0.3324454133
333	0.3323831396
334	0.3322361792
335	0.3322045551
336	0.3321784721
337	0.3321331605
338	0.3321142637
339	0.3320002567
340	0.3319107963
341	0.331811019
342	0.3317790234
343	0.331605443
344	0.3315906977
345	0.3315500471
346	0.3315347675
347	0.3314757255
348	0.3313672721
349	0.3312628077
350	0.3310869119
351	0.331060269
352	0.3310405378
353	0.330961544
354	0.3309447992
355	0.3307645741
356	0.3306909271
357	0.3306098258
358	0.3305881937
359	0.3304905639
360	0.3304721427
361	0.330451976
362	0.3304324445
363	0.330381527
364	0.3302868193
365	0.3302141882
366	0.3301952119
367	0.3300750114
368	0.3300304001
369	0.3299666872
370	0.3298939837
371	0.3298428962
372	0.3297704454
373	0.3297551132
374	0.329600249
375	0.3295735009
376	0.3295356709
377	0.3294632599
378	0.3294424091
379	0.3294302177
380	0.3293818698
381	0.3293416335
382	0.3292521683
383	0.32911473
384	0.329084113
385	0.3290213705
386	0.3289561461
387	0.3289068252
388	0.3288983707
389	0.3288577187
390	0.3287463018
391	0.3286239082
392	0.3285827658
393	0.3285231568
394	0.3284579004
395	0.3283317594
396	0.3282851149
397	0.3282452178
398	0.3282070165
399	0.3281909674
400	0.3281183723
401	0.3280662611
402	0.3280320593
403	0.3280203828
404	0.3278903864
405	0.327794044
406	0.3277386915
407	0.3276338495
408	0.3275545441
409	0.3275348424
410	0.3274910298
411	0.3274560976
412	0.3273840528
413	0.3273428733
414	0.3272563506
415	0.3272270096
416	0.3271908554
417	0.3271382461
418	0.3270694184
419	0.3270496122
420	0.3270313989
421	0.3269947425
422	0.326974704
423	0.3269502384
424	0.3268959051
425	0.3268792377
426	0.3268585895
427	0.3267863893
428	0.3267521005
429	0.3266779414
430	0.3266113528
431	0.3265555575
432	0.3265418389
433	0.3264983522
434	0.3264655511
435	0.3264486964
436	0.3264232995
437	0.3264058739
438	0.3263873533
439	0.3263573175
440	0.3263181122
441	0.3263109341
442	0.3262939711
443	0.3262865248
444	0.3262382009
445	0.3262187088
446	0.3262078113
447	0.3261882649
448	0.3261547196
449	0.3261034974
450	0.3260886123
451	0.3260795597
452	0.3260696015
453	0.3260582888
454	0.3260485899
455	0.3259753793
456	0.3259577647
457	0.3259168897
458	0.3258759059
459	0.3258631214
460	0.3258473516
461	0.3258358312
462	0.3257492026
463	0.3257016163
464	0.3255948989
465	0.3255784767
466	0.3255424154
467	0.3254831241
468	0.325446159
469	0.3254311409
470	0.32541691
471	0.3253660082
472	0.3253238547
473	0.3253116582
474	0.3252801069
475	0.3252573047
476	0.3252446606
477	0.3252163326
478	0.3252024839
479	0.32515234
480	0.3251346403
481	0.3250532652
482	0.3250228069
483	0.3249876114
484	0.3249713269
485	0.3249387833
486	0.3249273905
487	0.3249126518
488	0.32487359
489	0.3248271139
490	0.3248141097
491	0.3247989383
492	0.3247767771
493	0.3247679607
494	0.3247530749
495	0.3247381991
496	0.3247323348
497	0.324651883
498	0.3246300989
499	0.3245802477
500	0.3245018443
501	0.3244861761
502	0.3244710228
503	0.3244610166
504	0.3243521678
505	0.3242923566
506	0.3242767633
507	0.3242636729
508	0.3242199393
509	0.3241933578
510	0.3241704412
511	0.32407766
512	0.3240464438
513	0.3240317679
514	0.3240161573
515	0.3240047143
516	0.3239946535
517	0.3239176981
518	0.3239079485
519	0.3238006077
520	0.3237891717
521	0.32377625
522	0.3236969613
523	0.3236794516
524	0.3236670408
525	0.3236241214
526	0.3235694947
527	0.3235101438
528	0.3234729745
529	0.3234635221
530	0.3234502331
531	0.323437675
532	0.3233429799
533	0.3232726796
534	0.3232385603
535	0.3232144929
536	0.3231608942
537	0.3231436903
538	0.3231290063
539	0.3231125286
540	0.3230780795
541	0.3230635274
542	0.3230496078
543	0.3229826342
544	0.3229623606
545	0.3229468422
546	0.3228892024
547	0.3228750135
548	0.3228216493
549	0.3228040359
550	0.322797345
551	0.3227843648
552	0.3227778896
553	0.3227689171
554	0.322742918
555	0.3226631514
556	0.3226569644
557	0.3226463674
558	0.3226370376
559	0.3225955416
560	0.322544388
561	0.3224462817
562	0.3224411367
563	0.3224199931
564	0.3223265108
565	0.3222713626
566	0.3222654687
567	0.3222089339
568	0.3221972472
569	0.3221882643
570	0.3221666083
571	0.3221497694
572	0.3221307513
573	0.3221234671
574	0.3221119083
575	0.3220995381
576	0.322086799
577	0.3220326458
578	0.3220181686
579	0.3220078815
580	0.3219858808
581	0.3219219752
582	0.3219051213
583	0.321891015
584	0.3218845999
585	0.3218188114
586	0.3217679239
587	0.3217597462
588	0.321747473
589	0.3217343917
590	0.3217186784
591	0.3217106561
592	0.321678435
593	0.3216654538
594	0.3216517985
595	0.3216080512
596	0.3215993019
597	0.3215823812
598	0.3215728992
599	0.3215582944
600	0.3215380114
601	0.3215290013
602	0.3215234691
603	0.3214804377
604	0.3214537751
605	0.3214442258
606	0.3213972238
607	0.3213846013
608	0.3213732403
609	0.3213113549
610	0.3212823149
611	0.3212700693
612	0.3212321503
613	0.3212005929
614	0.3211890447
615	0.3211310685
616	0.3211130619
617	0.321104087
618	0.3210839452
619	0.321071774
620	0.3210656023
621	0.3209658405
622	0.320913454
623	0.3208760221
624	0.3208654428
625	0.3208550724
626	0.3207957707
627	0.3207862085
628	0.3207696982
629	0.3207615405
630	0.3207547308
631	0.3207202231
632	0.3206762177
633	0.3206326582
634	0.3206178809
635	0.3206113796
636	0.3205940149
637	0.3205843981
638	0.3205747503
639	0.3205646257
640	0.3205592988
641	0.3205556526
642	0.3205276732
643	0.3204795959
644	0.3204564853
645	0.3204482428
646	0.32040145
647	0.3203276103
648	0.3203226848
649	0.3203013253
650	0.3202951833
651	0.3202825105
652	0.3201832849
653	0.3201731923
654	0.3201274141
655	0.3201179756
656	0.3201065415
657	0.3200960035
658	0.3200870044
659	0.3200834426
660	0.3200338808
661	0.3200188091
662	0.320013491
663	0.3200030199
664	0.3199947022
665	0.3199653103
666	0.3199050947
667	0.3198988601
668	0.3198746343
669	0.3198646203
670	0.3198512521
671	0.3198467744
672	0.3198417786
673	0.3198355228
674	0.3198288347
675	0.3198175612
676	0.3198117816
677	0.3197995666
678	0.3197454267
679	0.3197344019
680	0.3197268153
681	0.3197170493
682	0.3197017584
683	0.3196975403
684	0.319632861
685	0.3196155198
686	0.3195996604
687	0.3195878986
688	0.3195247229
689	0.3195193574
690	0.3195139904
691	0.3195108958
692	0.3195005898
693	0.3194949296
694	0.3194803089
695	0.319468977
696	0.3194442429
697	0.3194399808
698	0.3194364661
699	0.319386285
700	0.3193705572
701	0.319356613
702	0.3193478253
703	0.3192997884
704	0.3192858785
705	0.3192743358
706	0.3192630581
707	0.3192470325
708	0.319239793
709	0.3192336853
710	0.3192128579
711	0.3192035323
712	0.3191578218
713	0.3191149551
714	0.3191105696
715	0.3191015051
716	0.3190838072
717	0.3190801869
718	0.3190593613
719	0.3190472909
