iter	Passed	Remaining
170	115168	423631
171	115751	422626
172	116522	422311
173	117320	422085
174	118183	422084
175	118940	421699
176	119667	421202
177	120382	420662
178	121133	420243
179	121863	419751
180	122494	418918
181	123087	417956
182	123741	417204
183	124539	416934
184	125236	416327
185	125875	415524
186	126678	415262
187	127342	414540
188	127898	413471
189	128922	413909
190	129589	413194
191	130284	412566
192	130920	411755
193	131744	411532
194	132429	410872
195	133025	409936
196	133697	409237
197	134549	409084
198	135193	408297
199	135919	407759
200	136608	407107
201	137302	406469
202	138024	405913
203	138855	405674
204	139692	405449
205	140411	404877
206	141172	404422
207	142144	404565
208	142993	404350
209	143882	404242
210	144546	403497
211	145230	402810
212	146007	402378
213	146823	402049
214	147642	401724
215	148537	401602
216	149239	400953
217	149953	400333
218	150615	399577
219	151268	398799
220	152040	398332
221	152784	397791
222	153616	397472
223	154381	396980
224	154886	395821
225	155624	395259
226	156308	394557
227	157102	394135
228	157784	393428
229	158003	391574
230	158754	391045
231	159661	390895
232	160343	390193
233	160910	389211
234	161724	388827
235	162287	387838
236	163058	387349
237	163635	386399
238	164335	385741
239	165254	385594
240	166040	385131
241	166977	385014
242	167696	384391
243	168206	383290
244	169143	383162
245	169795	382384
246	170411	381528
247	170939	380478
248	171762	380084
249	172477	379450
250	173359	379180
251	174014	378412
252	174975	378306
253	175756	377807
254	176643	377532
255	177360	376891
256	178081	376257
257	178774	375563
258	179511	374963
259	180118	374091
260	181073	373940
261	181755	373224
262	182402	372434
263	183055	371658
264	183651	370768
265	184321	370029
266	184943	369193
267	185626	368482
268	186234	367622
269	186963	367001
270	187720	366436
271	188610	366126
272	189306	365438
273	190116	364967
274	190664	363995
275	191397	363377
276	192092	362686
277	192777	361977
278	193541	361416
279	194130	360528
280	194741	359682
281	195331	358800
282	195894	357871
283	196743	357463
284	197544	356965
285	198266	356325
286	199133	355941
287	199798	355197
288	200440	354412
289	201111	353678
290	201853	353069
291	202428	352169
292	203113	351463
293	203952	351020
294	204562	350183
295	205297	349561
296	205611	348224
297	206027	347065
298	206762	346448
299	207539	345899
300	208252	345242
301	208667	344094
302	209376	343432
303	210118	342825
304	210846	342193
305	211421	341313
306	212227	340808
307	212751	339849
308	213420	339124
309	214072	338372
310	215075	338173
311	215682	337349
312	216294	336535
313	217033	335917
314	217947	335569
315	218748	335044
316	219346	334209
317	220153	333691
318	221019	333260
319	221778	332667
320	222626	332205
321	223347	331552
322	224066	330897
323	224830	330306
324	225410	329446
325	226094	328739
326	226794	328053
327	227369	327190
328	228053	326484
329	228767	325821
330	229709	325479
331	230230	324542
332	231054	324030
333	231669	323227
334	232297	322442
335	233071	321860
336	233858	321295
337	234670	320762
338	235324	320014
339	236154	319503
340	236978	318982
341	237561	318138
342	238345	317562
343	239087	316929
344	239943	316446
345	240576	315669
346	241201	314883
347	241825	314095
348	242589	313489
349	243384	312922
350	244130	312292
351	244992	311808
352	245801	311255
353	246612	310704
354	247269	309957
355	248229	309589
356	248845	308791
357	249626	308198
358	250686	307946
359	251586	307494
360	252233	306733
361	252913	306010
362	253388	305043
363	253962	304196
364	254877	303758
365	255429	302886
366	256013	302054
367	256717	301363
368	257216	300434
369	257927	299754
370	258717	299164
371	259481	298542
372	260173	297839
373	260821	297084
374	261796	296702
375	262618	296144
376	263377	295513
377	264122	294866
378	264929	294288
379	265639	293601
380	266208	292759
381	266983	292144
382	268018	291811
383	268656	291044
384	269205	290182
385	269916	289496
386	270628	288810
387	271297	288078
388	272097	287486
389	272877	286871
390	273934	286545
391	274548	285755
392	275179	284982
393	275877	284279
394	276657	283661
395	277419	283023
396	278211	282416
397	278946	281749
398	279787	281189
399	280531	280531
400	281709	280304
401	282341	279532
402	282937	278725
403	283472	277858
404	284220	277202
405	285279	276847
406	286060	276220
407	286935	275683
408	287657	274997
409	288519	274445
410	289183	273704
411	289917	273029
412	290708	272407
413	291486	271772
414	292241	271115
415	293025	270485
416	293672	269727
417	294427	269069
418	295219	268445
419	296076	267878
420	296809	267199
421	297585	266558
422	298267	265831
423	298927	265087
424	299934	264647
425	300513	263830
426	301248	263151
427	302080	262555
428	302744	261814
429	303475	261130
430	304210	260448
431	305192	259979
432	305881	259257
433	306500	258477
434	307024	257618
435	307672	256864
436	308498	256258
437	309325	255652
438	310051	254962
439	310897	254370
440	311405	253502
441	312128	252810
442	312712	252005
443	313672	251502
444	314498	250891
445	315411	250348
446	316094	249622
447	316852	248955
448	317583	248266
449	318265	247539
450	319043	246887
451	319787	246208
452	320576	245562
453	321197	244789
454	321999	244153
455	322671	243419
456	323324	242670
457	324033	241963
458	324725	241244
459	325502	240588
460	326263	239920
461	327119	239321
462	327768	238570
463	328465	237854
464	329193	237161
465	329966	236499
466	330668	235787
467	331447	235129
468	332272	234503
469	333008	233814
470	333744	233124
471	334446	232412
472	335447	231905
473	336062	231131
474	336788	230433
475	337571	229775
476	338401	229147
477	339179	228484
478	339987	227841
479	340787	227191
480	341536	226507
481	342165	225743
482	342960	225089
483	343951	224563
484	344637	223836
485	345437	223183
486	346173	222489
487	346888	221781
488	347687	221126
489	348476	220464
490	349081	219686
491	349877	219028
492	350824	218464
493	351612	217800
494	352380	217123
495	353129	216434
496	353730	215654
497	354740	215123
498	355548	214469
499	356254	213752
500	356879	212987
501	357817	212409
502	358503	211680
503	359309	211023
504	359981	210286
505	360672	209560
506	361566	208952
507	362325	208266
508	363050	207559
509	363809	206872
510	364794	206312
511	365579	205638
512	366214	204880
513	367070	204245
514	367870	203578
515	368515	202826
516	369315	202159
517	370116	201491
518	370783	200751
519	371506	200041
520	372260	199348
521	372893	198590
522	373727	197939
523	374429	197218
524	375228	196548
525	375908	195815
526	376633	195106
527	377485	194462
528	378136	193714
529	378845	192996
530	379737	192371
531	380656	191759
532	381403	191059
533	382224	190396
534	382930	189675
535	383713	188992
536	384491	188307
537	385188	187582
538	386095	186959
539	386851	186261
540	387619	185569
541	388343	184857
542	389159	184187
543	390004	183531
544	390809	182855
545	391559	182154
546	392294	181445
547	393085	180761
548	393675	179986
549	394360	179254
550	395221	178602
551	396008	177916
552	396693	177185
553	397446	176483
554	398292	175822
555	398943	175076
556	399726	174386
557	400492	173690
558	401187	172962
559	401902	172243
560	402557	171499
561	403382	170827
562	404116	170116
563	404789	169380
564	405561	168684
565	406304	167977
566	406934	167223
567	407560	166468
568	408263	165745
569	409001	165035
570	409784	164344
571	410439	163601
572	411094	162859
573	412117	162262
574	413119	161655
575	413836	160936
576	414561	160220
577	415231	159483
578	416193	158858
579	417091	158207
580	417722	157454
581	418416	156726
582	419453	156126
583	420180	155409
584	420775	154643
585	421500	153926
586	422202	153201
587	423132	152558
588	423943	151870
589	424670	151154
590	425203	150368
591	425936	149653
592	426594	148912
593	427427	148232
594	428265	147553
595	429018	146845
596	429864	146168
597	430567	145442
598	431315	144731
599	431969	143989
600	432780	143299
601	433398	142546
602	434245	141868
603	435158	141210
604	435985	140524
605	436720	139808
606	437453	139091
607	438291	138407
608	438968	137673
609	439808	136989
610	440647	136304
611	441289	135559
612	442101	134866
613	443013	134202
614	443806	133502
615	444601	132803
616	445543	132146
617	446173	131397
618	446936	130687
619	447744	129990
620	448458	129265
621	449144	128533
622	449939	127832
623	450614	127096
624	451312	126367
625	451910	125610
626	452556	124867
627	453237	124134
628	453988	123421
629	454734	122706
630	455271	121934
631	456065	121232
632	456839	120524
633	457490	119784
634	458508	119140
635	459211	118413
636	460002	117708
637	460706	116981
638	461385	116249
639	462291	115572
640	462868	114814
641	464021	114198
642	464725	113471
643	465332	112720
644	465903	111961
645	466817	111284
646	467658	110590
647	468410	109874
648	468988	109117
649	469909	108440
650	470646	107720
651	471563	107041
652	472243	106308
653	472886	105568
654	473583	104838
655	474331	104121
656	475041	103395
657	475788	102677
658	476672	101989
659	477667	101323
660	478503	100623
661	479085	99869
662	479772	99138
663	480574	98430
664	481494	97746
665	482249	97029
666	482976	96305
667	483773	95596
668	484764	94923
669	485621	94225
670	486298	93491
671	487082	92777
672	488033	92095
673	488722	91363
674	489408	90631
675	490097	89899
676	490709	89154
677	491462	88434
678	492383	87744
679	493111	87019
680	493824	86292
681	494529	85563
682	495236	84835
683	495797	84082
684	496515	83356
685	497186	82622
686	497870	81891
687	498742	81190
688	499446	80462
689	500165	79736
690	501018	79031
691	501732	78305
692	502424	77574
693	503034	76832
694	503994	76143
695	504863	75439
696	505759	74739
697	506575	74026
698	507303	73301
699	507959	72565
700	508918	71872
701	509849	71175
702	510575	70449
703	511250	69716
704	511965	68988
705	512825	68279
706	513574	67556
707	514567	66864
708	515346	66144
709	515909	65397
710	516458	64648
711	517326	63939
712	517986	63204
713	518662	62471
714	519483	61756
715	520377	61049
716	521166	60330
717	521970	59612
718	522801	58896
719	523395	58155
720	524259	57443
721	525090	56727
722	525806	55998
723	526703	55289
724	527434	54562
725	528098	53828
726	528824	53100
727	529488	52366
728	530157	51633
729	530955	50913
730	531576	50176
731	532410	49458
732	533086	48726
733	533732	47992
734	534522	47270
735	535438	46559
736	536340	45847
737	537039	45117
738	537821	44393
739	538598	43670
740	539356	42944
741	540181	42224
742	540868	41493
743	541646	40769
744	542610	40058
745	543515	39342
746	544299	38618
747	544919	37882
748	545625	37152
749	546361	36424
750	547084	35695
751	547802	34966
752	548569	34240
753	549536	33526
754	550287	32798
755	551104	32074
756	551812	31344
757	552598	30618
758	553519	29900
759	554277	29172
760	555214	28453
761	556060	27730
762	556865	27003
763	557528	26270
764	558212	25539
765	558969	24810
766	559750	24083
767	560280	23345
768	561023	22616
769	561879	21891
770	562628	21162
771	563378	20433
772	564245	19708
773	564912	18976
774	565583	18244
775	566329	17515
776	567129	16787
777	567766	16055
778	568731	15331
779	569485	14602
780	570283	13873
781	570967	13142
782	571870	12416
783	572640	11686
784	573393	10956
785	574166	10226
786	574907	9496
787	575601	8765
788	576002	8030
789	576560	7298
790	577223	6567
791	578028	5838
792	578629	5107
793	579415	4378
794	580223	3649
795	580887	2919
796	581622	2189
797	582297	1459
798	583086	729
799	583907	0
